lat_grid,lon_grid,pickup_count,month
40.725,-74.003,340,July
40.729,-73.988,340,July
40.736,-74.006,340,July
40.764,-73.985,340,July
40.708,-74.01,340,July
40.755,-73.993,340,August
40.721,-74.002,339,August
40.727,-73.996,339,August
40.76,-73.988,339,July
40.744,-73.989,339,April
40.754,-73.979,339,April
40.735,-74,339,April
40.748,-74.005,339,July
40.745,-73.979,339,July
40.734,-74.002,339,July
40.732,-74.004,338,July
40.725,-73.994,338,July
40.761,-73.987,338,April
40.717,-74.012,338,August
40.748,-73.957,338,August
40.73,-73.987,337,August
40.719,-74.01,337,August
40.743,-74.004,337,August
40.722,-74.01,337,August
40.722,-74.01,337,April
40.732,-73.997,337,April
40.743,-73.985,337,April
40.729,-74.005,337,April
40.751,-73.987,337,April
40.769,-73.862,337,July
40.765,-73.975,337,July
40.738,-73.993,336,July
40.714,-74.012,336,July
40.759,-73.978,336,April
40.747,-73.985,336,April
40.762,-73.97,336,April
40.756,-73.97,336,August
40.729,-74.002,336,August
40.774,-73.964,336,August
40.749,-73.98,336,August
40.762,-73.971,335,August
40.735,-74.002,335,August
40.759,-73.992,335,August
40.73,-73.981,335,August
40.742,-73.995,335,August
40.741,-74.002,335,April
40.722,-74.011,335,April
40.757,-73.977,335,July
40.738,-74.006,335,July
40.763,-73.983,335,July
40.73,-73.99,335,July
40.739,-73.988,335,July
40.726,-73.998,334,July
40.729,-74.007,334,July
40.732,-73.996,334,July
40.716,-74.007,334,July
40.722,-73.999,334,April
40.723,-74.003,334,April
40.703,-74.011,334,August
40.745,-73.976,334,August
40.736,-74.007,334,August
40.725,-73.994,334,August
40.723,-74.003,333,August
40.744,-73.986,333,August
40.728,-74,333,April
40.735,-74.001,333,July
40.765,-73.983,333,July
40.744,-73.983,333,July
40.73,-74.002,333,July
40.724,-73.991,333,July
40.782,-73.981,332,July
40.731,-73.989,332,July
40.769,-73.983,332,April
40.758,-73.969,332,April
40.761,-73.976,332,April
40.761,-73.969,332,April
40.745,-73.977,332,April
40.722,-74.01,332,July
40.764,-73.983,332,July
40.756,-73.99,332,August
40.73,-73.982,332,August
40.736,-74.006,332,August
40.737,-74.004,331,August
40.763,-73.977,331,August
40.751,-73.983,331,July
40.723,-74.006,331,July
40.759,-73.969,331,July
40.76,-73.975,331,April
40.734,-74.006,331,April
40.721,-73.997,330,April
40.753,-74.004,330,July
40.691,-74.178,330,July
40.72,-74.008,330,July
40.737,-73.987,330,July
40.738,-73.989,330,July
40.758,-73.993,330,July
40.751,-73.979,330,August
40.731,-74.004,329,August
40.716,-74.012,329,July
40.755,-73.981,329,July
40.733,-74,329,July
40.758,-73.971,329,April
40.705,-74.01,329,April
40.72,-74.002,329,April
40.76,-73.988,328,April
40.76,-73.978,328,July
40.769,-73.983,328,July
40.731,-74.001,328,July
40.73,-74,328,July
40.772,-73.967,328,August
40.733,-73.993,328,August
40.75,-73.994,328,August
40.747,-73.981,328,August
40.688,-74.181,327,August
40.729,-73.978,327,August
40.717,-74.012,327,July
40.644,-73.79,327,July
40.752,-73.974,327,July
40.747,-73.991,327,July
40.755,-73.985,327,July
40.711,-74.016,327,July
40.723,-74.006,327,April
40.751,-73.98,327,April
40.717,-74.005,327,April
40.766,-73.978,327,April
40.73,-74.004,327,April
40.749,-74.003,326,April
40.758,-73.977,326,April
40.739,-74.008,326,April
40.763,-73.969,326,July
40.741,-73.989,326,July
40.759,-73.992,326,July
40.739,-73.989,326,August
40.731,-73.983,326,August
40.764,-73.98,326,August
40.725,-74.002,326,August
40.731,-73.992,326,August
40.722,-74.011,325,August
40.758,-73.978,325,August
40.745,-73.985,325,August
40.732,-74.002,325,August
40.735,-73.994,325,August
40.752,-73.995,325,August
40.749,-73.984,325,July
40.725,-74,325,April
40.755,-73.974,325,April
40.72,-74.008,325,April
40.708,-74.007,325,April
40.765,-73.971,325,July
40.743,-74,325,July
40.721,-73.999,324,July
40.739,-73.991,324,July
40.749,-73.993,324,July
40.76,-73.98,324,April
40.73,-74.002,324,August
40.721,-73.989,324,August
40.748,-73.988,324,August
40.726,-74.004,324,August
40.738,-74.002,323,August
40.768,-73.985,323,August
40.711,-74.009,323,August
40.754,-73.988,323,April
40.721,-73.999,323,April
40.74,-73.99,323,April
40.721,-73.995,323,April
40.721,-74.005,323,April
40.761,-73.984,323,July
40.727,-73.98,323,July
40.722,-73.999,323,July
40.758,-73.979,322,July
